id_client,ville_client,prenom_client,nom_client,email_client,gender_client,telephone_client,iban_client,abonnement_client,id_fournisseur,ville_fournisseur,nom_fournisseur,slogan_fournisseur,devise_fournisseur,email_fournisseur,iban_fournisseur,telephone_fournisseur,id_produit,couleur_produit,prix_produit,label_produit,id_commande,date_commande
1,Krajan Dukuhseti,Mark,Mendoza,mmendoza0@google.de,Male,62-(926)809-5681,FO85 0221 3895 4384 58,true,4998,Arneiro,Twitterwire,deploy leading-edge solutions,IDR,mmendoza0@tinypic.com,FR23 1174 4758 77QX 8JU9 WTIM S16,351-(240)132-8622,900000001,Mauv,298.68,ut,1,5/3/2013
2,Nowlamary,,Gomez,rgomez1@typepad.com,Male,880-(788)585-2727,,true,3365,Hongyanxi,Trupe,,,,LI35 0694 2EFJ F5SX BJE7 K,86-(516)695-6168,900000002,Indigo,3830.67,quam pharetra,2,20/9/2012
3,Soledad,Ernest,Day,eday2@nba.com,Male,58-(534)854-2653,SE71 2347 5515 0380 7403 8471,,2244,Lubango,Kanoodle,,,eday2@netscape.com,PT59 4832 7327 8195 6235 8747 7,244-(396)947-1181,900000003,Green,2541.34,porttitor lorem,3,27/5/2015
4,Arevshat,Alan,Ray,aray3@squarespace.com,Male,374-(106)147-4222,FI09 6320 4420 1664 09,false,1417,Siukh,Browsedrive,,AMD,aray3@rambler.ru,AZ63 HOFM DKSO UZPA CGH6 DJTL ZLLM,,900000004,,4848.71,non,4,12/6/2015
5,Gombong,Margaret,Porter,mporter4@networkadvertising.org,Female,,LI76 4861 2LND 9FKW 7GO0 F,false,3643,,Jabbercube,grow bleeding-edge users,IDR,mporter4@amazon.co.uk,FR30 6056 2382 52NJ BARE 3MZY O50,47-(524)604-9809,900000005,Goldenrod,4342.76,,5,28/9/2013
6,Banī Khaddāsh,Gerald,Howard,ghoward5@desdev.cn,Male,216-(553)351-7955,,true,4971,Saskatoon,Brainsphere,,,ghoward5@ca.gov,,1-(473)511-1279,900000006,,1647.43,vestibulum,6,16/6/2012
7,Kudirkos Naumiestis,Louis,Richardson,lrichardson6@businessweek.com,Male,370-(309)646-0905,,false,1648,Belawang,Feedfire,whiteboard rich interfaces,LTL,lrichardson6@ebay.co.uk,,62-(739)819-1657,900000007,Purple,797.83,orci nullam,7,18/2/2016
8,Póvoa de Santo António,Phillip,Stevens,pstevens7@wp.com,Male,,NL14 FBYR 3674 4590 10,true,2413,Grebnevo,Devbug,deploy best-of-breed functionalities,,pstevens7@springer.com,CY28 5840 4575 RLWJ K0C1 UW26 O0CQ,7-(772)636-7867,900000008,,831.53,tellus in,8,24/2/2014
9,Camatindi,Debra,Williams,dwilliams8@clickbank.net,,591-(970)393-3990,TN49 1560 5997 3643 4478 9596,,140,Safonovo,Browsezoom,enhance virtual networks,BOB,,FR14 2144 2129 37WF Q6FP TWHG 818,7-(772)830-2959,900000009,Khaki,,orci,9,9/11/2013
10,Kirtipur,Steve,Ross,sross9@icio.us,Male,977-(493)971-7981,VG31 UYUO 6997 0529 9091 8500,true,4378,Daguyun,Centidel,,NPR,sross9@123-reg.co.uk,CZ52 7099 5317 1766 7156 9227,86-(111)843-2797,900000010,,1739.82,nulla neque,10,5/9/2014
11,Chunhua,,Williams,pwilliamsa@virginia.edu,,86-(139)928-8890,NO10 3157 5853 080,true,100,Besuki Dua,Centimia,,CNY,rwilliamsa@ustream.tv,CZ10 9071 3678 2967 9038 8322,,900000011,Goldenrod,1282.48,ligula,11,27/5/2014
12,El Fahs,Stephen,Green,sgreenb@twitpic.com,Male,216-(837)429-0014,,,4624,Vinhedo,Centimia,target ubiquitous eyeballs,,sgreenb@digg.com,HU45 1449 3137 6796 9659 1775 8693,55-(533)120-1894,900000012,Blue,4076.81,vulputate,12,2/3/2015
13,Conchopata,,Lynch,mlynchc@tripadvisor.com,Female,,FR51 2633 7884 88NG STLG XVJH P57,true,976,Nandasmo,Twinder,facilitate killer relationships,PEN,flynchc@mediafire.com,,505-(621)843-6379,900000013,Turquoise,4557.64,quam,13,17/2/2011
14,Yuanqiao,Michelle,Cooper,mcooperd@deviantart.com,Female,86-(259)141-9835,MC59 7210 9576 87ID UBMN SKIC H76,false,2591,Cabinda,Demivee,grow efficient action-items,CNY,mcooperd@vkontakte.ru,IE87 KUWP 6530 2818 6607 10,244-(638)481-1975,900000014,,1033.50,amet,14,4/1/2014
15,Huashan,Helen,West,hweste@wordpress.com,Female,86-(310)254-9870,FR88 2377 0062 53AG ORQF FV2N A65,false,56,San Rafael Abajo,Podcat,streamline e-business communities,CNY,hweste@blog.com,SK57 5045 0704 9743 0018 5491,,900000015,Goldenrod,2849.36,libero quis,15,9/6/2014
16,Biljača,Roy,Crawford,rcrawfordf@slate.com,Male,,EE46 5930 8107 6351 5116,false,3693,Małkinia Górna,Mydeo,unleash mission-critical niches,RSD,rcrawfordf@surveymonkey.com,MC33 2136 1627 73KZ GSDU Q6XO P63,48-(533)147-4504,900000016,Maroon,3027.69,consequat,16,9/7/2016
17,Islamey,Marie,Franklin,mfrankling@joomla.org,Female,7-(717)172-0366,FR96 9864 7655 92LO XFYZ T8JQ Y84,true,4296,Fengchuan,Kwideo,redefine integrated metrics,RUB,mfrankling@geocities.com,PT77 3917 0993 3396 2723 4880 1,86-(884)984-6036,900000017,Goldenrod,,diam nam,17,25/6/2014
18,Baizhu,Diane,Schmidt,,Female,86-(912)803-4158,,true,2828,Sorongan,Dabshots,,,dschmidth@redcross.org,,62-(179)947-0482,900000018,Yellow,,quam,18,20/5/2014
19,Bromma,Brian,Kelly,bkellyi@elpais.com,Male,46-(520)508-3088,FR22 0064 0724 16WE XZTU QB10 M11,true,39,Jiesheng,Meeveo,,SEK,bkellyi@theglobeandmail.com,TR56 8521 3ER4 QGHM 5UZU W5T6 XN,,900000019,Violet,4342.02,ultrices,19,19/10/2013
20,Sidaharja,Jean,Barnes,jbarnesj@ox.ac.uk,Female,,PK84 TEFB P4DQ FBIC Q2XS YMHO,false,2728,Xinghe Chengguanzhen,Yacero,,IDR,jbarnesj@columbia.edu,FR86 9456 5427 18FN 8QK3 FFB5 O50,,900000020,,4920.33,enim,20,9/10/2016
21,Jiamiao,Samuel,Cruz,scruzk@google.fr,Male,86-(959)189-1085,PS21 NCHH VM3A J9L2 WUUH NI2V ZTG5 I,true,573,Kabar Utara,Divanoodle,syndicate seamless relationships,CNY,scruzk@a8.net,FI25 3494 3398 9680 24,62-(402)777-2406,900000021,Yellow,4729.11,mattis nibh,21,7/10/2013
22,Wanshi,Michael,Wagner,mwagnerl@domainmarket.com,Male,86-(587)568-5843,FR59 5890 0898 92WW ZLBE HLPN M68,true,526,Dayangqi,Photospace,,CNY,,,86-(114)108-5070,900000022,,675.90,vel,22,19/4/2016
23,Spodnja Hajdina,Alan,Harrison,aharrisonm@odnoklassniki.ru,Male,386-(879)772-7072,,,3434,Ōhara,Quatz,,EUR,aharrisonm@amazon.co.uk,,81-(319)817-9987,900000023,Blue,70.18,vel,23,22/2/2016
24,Wang Muang,Jane,Graham,jgrahamn@dell.com,Female,66-(257)738-3178,IE80 QMGP 5332 5814 4638 57,true,4447,Mohoro,Vitz,visualize integrated bandwidth,THB,,HU92 5463 5906 9352 7952 9604 6759,269-(174)449-7216,900000024,Puce,3050.36,vel pede,24,11/12/2012
25,Curahpacul Satu,Timothy,Lawrence,tlawrenceo@ucsd.edu,Male,62-(834)573-8185,KW24 CDDJ NN0Y O1IE S9WG SD2L TYZS XF,false,1325,Tegalagung,Buzzster,strategize strategic paradigms,,tlawrenceo@lycos.com,BE71 1894 0122 1740,62-(500)772-3013,900000025,Teal,3295.56,integer aliquet,25,1/7/2016
26,Albrechtice,Earl,Ryan,eryanp@webeden.co.uk,Male,420-(918)171-0876,LB11 1527 1QME 5I5E KLPA YZVU EGXH,,4714,Kebon,Centimia,architect cross-media paradigms,CZK,eryanp@nbcnews.com,,62-(658)397-5830,900000026,Crimson,,amet diam,26,12/9/2014
27,Fatikchari,Howard,Dunn,,Male,880-(745)356-7412,EE79 1211 3888 8161 7395,,375,Pedro Miguel,Photobug,e-enable mission-critical users,BDT,hdunnq@youku.com,MT36 WPIK 2496 8MEL XPRV XMFE DEST EVV,351-(693)419-9544,900000027,Maroon,2512.47,aenean lectus,27,6/4/2013
28,Castelo,Marie,Weaver,mweaverr@uol.com.br,Female,351-(177)897-9603,,false,4619,Nemuro,Fliptune,,,mweaverr@craigslist.org,GR21 2715 820W R49Y RPJ9 LKNK YOP,81-(513)267-2790,900000028,,3349.67,pharetra,28,13/11/2016
29,Op,Anna,Davis,adaviss@earthlink.net,Female,,PL85 0309 5551 1513 8820 6322 1332,,2642,Virginia,Photofeed,,IDR,adaviss@shareasale.com,,353-(309)961-4049,900000029,Puce,2031.87,vestibulum ac,29,13/8/2011
30,Maldonado,Emily,Bennett,ebennettt@livejournal.com,,598-(209)252-4321,GI23 AYDM YQVP 0PEG IDTK 4KF,,4854,Aberdeen,Meevee,evolve global relationships,UYU,ebennettt@huffingtonpost.com,GE72 SW69 2145 6898 1992 23,44-(889)645-9989,900000030,Mauv,,amet,30,6/8/2016
31,Vila de Rei,Matthew,Peters,mpetersu@shareasale.com,Male,351-(988)115-2704,MD54 587V YHJY BLYE RFE9 ONFV,false,3350,Talon,Feedbug,brand wireless e-services,,mpetersu@trellian.com,SE56 4848 6792 8112 1362 8359,62-(520)532-8271,900000031,Red,,felis,31,1/8/2015
32,Tuodian,Jose,White,jwhitev@oracle.com,Male,,MU11 MKDT 2003 1420 7893 3015 263U CO,true,3538,Bangkok,Meembee,revolutionize innovative applications,CNY,jwhitev@cnet.com,LV32 HHOR 9SOR AM1Y 1YFF 1,66-(770)643-8090,900000032,,3541.91,in faucibus,32,24/5/2011
33,Argelia,Deborah,Mason,,Female,57-(252)704-2797,ME15 9348 2755 5132 8481 68,,4849,Changsu,Voonix,,COP,dmasonw@noaa.gov,MT59 DSQU 3197 0KQG LTAI JFCJ JBQ8 WQ6,82-(560)340-8185,900000033,Red,2572.41,in,33,18/1/2011
34,Margasari,Betty,Gordon,bgordonx@google.ca,Female,62-(892)947-2137,ES21 6755 1724 0218 8031 5320,false,429,Nagaracinta,Topicblab,morph viral channels,IDR,bgordonx@newsvine.com,MR19 2107 0844 7579 3476 2462 824,62-(489)174-8164,900000034,,2497.12,suspendisse accumsan,34,20/4/2014
35,Daniwato,Debra,Richardson,drichardsony@slideshare.net,,62-(248)388-4207,IL88 2800 2031 4400 5454 603,true,4741,Lianxia,Blogpad,mesh compelling paradigms,IDR,drichardsony@indiatimes.com,SI97 5799 0418 5713 880,86-(170)348-3256,900000035,Red,152.74,est,35,27/3/2014
